time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count,time,price,asset_id
2025-01-01T17:00:00.0000000Z,2025-01-01T18:00:00.0000000Z,2025-01-01T17:00:00.7800000Z,2025-01-01T17:59:18.2800000Z,93902,93976,93562,93939,16.580782759999995,221,2025-01-01 17:00:00+00:00,93902,BTC
2025-01-01T18:00:00.0000000Z,2025-01-01T19:00:00.0000000Z,2025-01-01T18:00:11.2710000Z,2025-01-01T18:59:14.5120000Z,93956,94154,93746,94144,40.51559205,433,2025-01-01 18:00:00+00:00,93956,BTC
2025-01-01T19:00:00.0000000Z,2025-01-01T20:00:00.0000000Z,2025-01-01T19:00:04.1920000Z,2025-01-01T19:59:52.8260000Z,94127,94600,93922,94419,30.15983064999999,531,2025-01-01 19:00:00+00:00,94127,BTC
2025-01-01T20:00:00.0000000Z,2025-01-01T21:00:00.0000000Z,2025-01-01T20:00:00.4640000Z,2025-01-01T20:59:57.0030000Z,94423,94657,94398,94597,30.73040591,510,2025-01-01 20:00:00+00:00,94423,BTC
2025-01-01T21:00:00.0000000Z,2025-01-01T22:00:00.0000000Z,2025-01-01T21:00:12.2400000Z,2025-01-01T21:59:37.4460000Z,94625,94951,94488,94757,30.793399609999994,466,2025-01-01 21:00:00+00:00,94625,BTC
2025-01-01T22:00:00.0000000Z,2025-01-01T23:00:00.0000000Z,2025-01-01T22:00:39.2090000Z,2025-01-01T22:59:51.5770000Z,94787,94787,94493,94608,25.260291230000007,429,2025-01-01 22:00:00+00:00,94787,BTC
2025-01-01T23:00:00.0000000Z,2025-01-02T00:00:00.0000000Z,2025-01-01T23:00:12.1730000Z,2025-01-01T23:59:41.1500000Z,94607,94737,94357,94388,34.63539797999999,308,2025-01-01 23:00:00+00:00,94607,BTC
2025-01-02T00:00:00.0000000Z,2025-01-02T01:00:00.0000000Z,2025-01-02T00:00:06.2620000Z,2025-01-02T00:59:20.1760000Z,94380,95170,94205,94900,139.71337962,679,2025-01-02 00:00:00+00:00,94380,BTC
2025-01-02T01:00:00.0000000Z,2025-01-02T02:00:00.0000000Z,2025-01-02T01:00:08.6220000Z,2025-01-02T01:59:31.0410000Z,94946,95300,94551,94680,51.933835750000036,446,2025-01-02 01:00:00+00:00,94946,BTC
2025-01-02T02:00:00.0000000Z,2025-01-02T03:00:00.0000000Z,2025-01-02T02:00:15.7120000Z,2025-01-02T02:59:49.5580000Z,94682,95016,94646,95016,6.51406879,197,2025-01-02 02:00:00+00:00,94682,BTC
